,spatial,typicalAgeRange,physicalSampleAvailability,followup,pathway
278,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
279,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
280,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-103,['NOT AVAILABLE'],OTHER,"Secondary care pathway, with an intention to link primary care datasets"
281,['https://www.geonames.org/2636157/tayside-region.html'],18-85,['NOT AVAILABLE'],UNKNOWN,Not Available
282,['https://www.geonames.org/2648147/great-britain.html'],0-150,['TISSUE'],> 10 YEARS,Secondary care
283,['https://www.geonames.org/2635167/united-kingdom.html'],0-150,['NOT AVAILABLE'],OTHER,"General Practice, Primary Care"
284,"['https://www.geonames.org/3042225/isle-of-man.html,', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,Covid-19
285,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,0-150,['NOT AVAILABLE'],0 - 6 MONTHS,Secondary care data only
286,Wales,0-150,['DNA'],0 - 6 MONTHS,Primary Care
287,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],OTHER,Primary care
288,['https://www.geonames.org/2648147/great-britain.html'],0-115,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white).  Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care.  Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
289,https://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
290,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,Coverage of healthcare workers primarily in acute trusts.
291,['https://www.geonames.org/countries/GB/united-kingdom.html'],18-110,['NOT AVAILABLE'],1 - 10 YEARS,Cancer registration data are collected from a range of health care provider systems and other services.
292,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,40-150,['NOT AVAILABLE'],OTHER,All pathways about prescribed systemic anti-cancer therapy.
293,['https://www.geonames.org/2634343/west-midlands.html'],0-150,['NOT AVAILABLE'],UNKNOWN,"The UHB AMD dataset is representative of the patient pathway for diagnosis and treatment of wet AMD, and longitudinal follow-up."
294,England,0-150,['NOT AVAILABLE'],6 - 12 MONTHS,"Cancer Clinical Pathway: including cancer waiting times data (CWT), cancer outcomes and services dataset (COSD) and the Systemic Anticancer Treatment dataset (SACT) submissions and Radio Therapy (RT) Care by provider."
295,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-115,['NOT AVAILABLE'],UNKNOWN,All pathways about social care
296,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],> 10 YEARS,The dataset contains primary care data and can be linked to secondary/inpatient care data.
297,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],OTHER,"The population includes only covers adults (over 18) who live within certain areas: Midlands, UK. Data is survey data, clinic assessments, and linkable to primary and secondary care."
298,"England, UK",0-150,['NOT AVAILABLE'],6 - 12 MONTHS,Not Available
299,['https://www.geonames.org/2634895/wales.html'],18-120,['TISSUE'],6 - 12 MONTHS,Adults who attend renal units and centres throughout the UK are invited to complete an anonymous annual paper-based or online survey that contains 39 questions relating to their experience of the care received for their kidney disease at their renal unit or centre.
300,['https://www.geonames.org/2636157/tayside-region.html'],0-150,['NOT AVAILABLE'],OTHER,Patients undergoing AAA repair procedures in hospitals in the UK that have been entered and submitted onto the National Vascular Registry
301,https://www.geonames.org/2634895/wales.html,0-150,['NOT AVAILABLE'],OTHER,Not Applicable
302,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],0 - 6 MONTHS,SECONDARY CARE
303,https://www.geonames.org/countries/GB/united-kingdom.html,0-150,['NOT AVAILABLE'],OTHER,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
304,https://www.geonames.org/6269131/england.html,0-150,['NOT AVAILABLE'],1 - 10 YEARS,Primary care
305,https://www.geonames.org/2634895/wales.html,16-150,['NOT AVAILABLE'],1 - 10 YEARS,Secondary care
306,Wales,60-150,['NOT AVAILABLE'],> 10 YEARS,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected
307,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],OTHER,Neonatal Unit stay
308,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",>18,['NOT AVAILABLE'],UNKNOWN,Secondary care
309,['http://www.geonames.org/2649469/fife.html'],40-150,['NOT AVAILABLE'],UNKNOWN,Structure and resource of COPD hospital services
310,India,0-150,['NOT AVAILABLE'],OTHER,This dataset deals with prescribed medications only
311,Wales,0-150,['NOT AVAILABLE'],> 10 YEARS,Primary and Secondary care
312,England,0-150,['NOT AVAILABLE'],1 - 10 YEARS,NOT APPLICABLE
313,https://www.geonames.org/2638360/scotland.html,0-150,['NOT AVAILABLE'],1 - 10 YEARS,"The dataset is a follow-up of the participants from the CMC Feasibility trial participants. Thirty patients who required pulmonary rehabilitation and eligible based on the study inclusion and exclusion were recruited. The dataset has a continuous pathway from the feasibility trial with additional components required to show the impact of pulmonary rehabilitation. 
The patients were followed  up for a period of 8 weeks following the initiation of PR.  The peers visited the patients once weekly in their homes and supervised their exercises twice a week at the centre along with PR professionals."
314,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",18-150,['NOT AVAILABLE'],OTHER,Secondary care
315,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,Education
316,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['TISSUE'],1 - 10 YEARS,"Secondary care, ICU"
317,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-150,['OTHER'],UNKNOWN,"This dataset reflects the registration process - initial registration, change of circumstances and deduction from register."
318,UK,0-25,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
319,https://www.geonames.org/6269131/england.html,0-150,['IN PROGRESS'],UNKNOWN,Not Available
320,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],OTHER,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
321,"['https://www.geonames.org/2636157/tayside-region.html', 'http://www.geonames.org/2649469/fife.html']",0-115,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",UNKNOWN,The data in this table relates to primary care events which is any interaction between the patient and their registered general practice. All patients are identified by an unique patient key which can be linked with all other datasets available in the Discover-NOW catalogue to understand the patient pathway
322,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,0-150,['OTHER'],1 - 10 YEARS,Not Available
323,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
324,https://www.geonames.org/2638360/scotland.html,0-150,['IN PROGRESS'],OTHER,All critical care pathways
325,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith & Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,12-110,['NOT AVAILABLE'],OTHER,"This dataset contains all Emergency Care attendances for NWL patients. Each patient will be identified using an unique patient key, this can be used to link to other Discover-NOW datasets that will help track the patient pathway"
326,England,40-150,"['DNA', 'PLASMA', 'RNA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",UNKNOWN,Consented research project
327,['https://www.geonames.org/11591953/west-midlands.html'],49-101,['NOT AVAILABLE'],UNKNOWN,NOT APPLICABLE
328,"West Midlands Region, UK",0-150,['NOT AVAILABLE'],OTHER,"Single specialty - either elderly care or neurology (non acute), secondary care and community services"
329,England,Not Known,['NOT AVAILABLE'],OTHER,This dataset contains all inpatient activity for NWL patients. Each patient will be identified by an unique patient key that can be used to link to other Discover-NOW datasets to track the patient pathway
330,['https://www.geonames.org/2648147/great-britain.html'],16-99,"['CORE BIOPSY', 'DNA', 'FAECES', 'IMMORTALIZED CELL LINES', 'PERIPHERAL BLOOD CELLS', 'PLASMA', 'RNA', 'SALIVA', 'SERUM', 'SWABS', 'TISSUE', 'URINE', 'WHOLE BLOOD', 'OTHER']",UNKNOWN,Dataset relates to a single type of antigen testing
331,England,15-150,['NOT AVAILABLE'],1 - 10 YEARS,All emergency services pathways
332,England,0-103,['NOT AVAILABLE'],OTHER,End of life care
333,United Kingdom,18-150,['NOT AVAILABLE'],OTHER,Dataset relates to a single type of antigen testing
334,England,Not Known,['NOT AVAILABLE'],> 10 YEARS,Secondary Care Acute Hospital Accident & Emergency Pathways
335,['https://www.geonames.org/2648147/great-britain.html'],19-30,['NOT AVAILABLE'],OTHER,End of life care
336,https://www.geonames.org/1168579/islamic-republic-of-pakistan.html,<5,['NOT AVAILABLE'],UNKNOWN,Only intensive care data
337,England,15-150,['NOT AVAILABLE'],OTHER,Secondary Care
338,https://www.geonames.org/1337202/cox-s-bazar-zila.html,0-115,['WHOLE BLOOD'],OTHER,Secondary care records for Tayside and Fife
339,India,0-150,['NOT AVAILABLE'],1 - 10 YEARS,Not Available
340,Wales,0-150,['IN PROGRESS'],UNKNOWN,SECONDARY CARE
341,['https://www.geonames.org/6269131/england.html'],18-100,['NOT AVAILABLE'],UNKNOWN,Patients undergoing lower limb angioplasty/stent procedures in hospitals in the UK that have been entered and submitted onto the National Vascular Registry
342,http://www.geonames.org/6269131/england.html,0-150,['OTHER'],UNKNOWN,All pathways about patients living in Wales
343,['https://www.geonames.org/2634895/wales.html'],16-150,"['DNA', 'FAECES', 'PLASMA', 'SALIVA', 'SERUM', 'URINE']",1 - 10 YEARS,Primary Care
344,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],0-150,['NOT AVAILABLE'],OTHER,Family justice cases
345,Wales,0-150,"['DNA', 'PLASMA', 'SERUM']",> 10 YEARS,Secondary care dataset
346,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],UNKNOWN,Secondary care
347,['https://www.geonames.org/2636157/tayside-region.html'],17-100,['NOT AVAILABLE'],OTHER,"The data covers an individual's experience of their whole Parkinson's service - the current service being visited, but also the experience at diagnosis and whilst an inpatient (where relevant) throughout their lifetime living with Parkinson's."
348,https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,0-4,['NOT AVAILABLE'],OTHER,Representative of the unplanned/emergency patient patient for hospitalised patients within secondary care.  Diverse ethnicity and socioeconomic status.
349,['https://www.geonames.org/2636157/tayside-region.html'],18-99,"['BONE MARROW', 'PERIPHERAL BLOOD CELLS', 'SERUM', 'URINE']",1 - 10 YEARS,Data is representative of the patient pathway. Readmissions for reasons other than revision surgery are not collected.
350,['https://www.geonames.org/2634895/wales.html'],0-150,['NOT AVAILABLE'],1 - 10 YEARS,Data relates to a single specialty area -new and review appointments in ED departments
351,['https://www.geonames.org/2638360/scotland.html'],18-75,"['DNA', 'PLASMA', 'SERUM']",0 - 6 MONTHS,Covid-19
352,['https://www.geonames.org/2636157/tayside-region.html'],Not Known,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
353,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",7-99,['NOT AVAILABLE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
354,['https://www.geonames.org/6252001/united-states.html'],26-89,['NOT AVAILABLE'],1 - 10 YEARS,Education
355,England,0-150,['NOT AVAILABLE'],6 - 12 MONTHS,Treatment / diagnostic intervention referral pathway including welsh residents treated (or waiting for treatment) in England
356,['https://www.geonames.org/1733045/malaysia.html'],0-113,['OTHER'],OTHER,Not applicable
357,['https://www.geonames.org/2648147/great-britain.html'],18-85,['NOT AVAILABLE'],0 - 6 MONTHS,Not Applicable
358,United Kingdom,0-25,"['PLASMA', 'SERUM', 'TISSUE', 'URINE']",OTHER,"This dataset focuses on those patients who required high dependency and Intensive Care support including ventilatory support for any reason or purpose. It includes all ventilator settings, oxygen support and all organ support treatments.  It includes all medications used across the COVID waves. It assesses infections associated with ITU, all routine and specialist tests, all investigations, treatments and results.  The dataset is ethnically diverse and includes all admitted patients.  It is a secondary care, hospitalised cohort."
359,"['United Kingdom,England,West Midlands']",0-100,['NOT AVAILABLE'],UNKNOWN,Secondary Care pathway. This dataset covers attendances at accident and emergency departments in England. It includes information on the treatment and outcome of the attendance and can be linked to the HES APC dataset to further the pathway if a hospital admission is a result of the A&E attendance.
360,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],40-69,['NOT AVAILABLE'],> 10 YEARS,Cancer registration data are collected from a range of health care provider systems and other services.
361,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",40-150,['NOT AVAILABLE'],> 10 YEARS,NOT APPLICABLE
362,"West Midlands Region, UK",18-85,['NOT AVAILABLE'],OTHER,Secondary care
363,United Kingdom,18-85,['NOT AVAILABLE'],> 10 YEARS,Dataset includes information from primary care and specialist diabetes care in secondary care settings.
364,England,19-105,['TISSUE'],> 10 YEARS,Covid-19
365,['https://www.geonames.org/2635167/united-kingdom.html'],0-25,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
366,['United Kingdom (https://www.geonames.org/2635167/united-kingdom.html)'],16-150,['NOT AVAILABLE'],0 - 6 MONTHS,Not applicable
367,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-150,['NOT AVAILABLE'],1 - 10 YEARS,All diagnostic and therapy pathways
368,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-120,['NOT AVAILABLE'],UNKNOWN,"The independent datasets don't show the full patient pathway. We can include other datasets (Clock Starts, Clock Stops and Diagnostics) in views to show the full patient pathway). This dataset contains all Incomplete Pathways using a patient pathway identifier to link to patient activity related to NWL patient population."
369,['https://www.geonames.org/2634895/wales.html'],12-109,"['BONE MARROW', 'DNA', 'PERIPHERAL BLOOD CELLS', 'RNA']",OTHER,"This dataset is representative of the patient pathway for community screening of diabetic eye disease and grading.  This DES dataset is linked within this diabetic emergency hospital dataset to include those patients who were subsequently admitted to the Queen Elizabeth Hospital, University Hospitals Birmingham NHS Trust for complications of their diabetes.  This limits the dataset to only those patients who have been seen both in primary care screening and then subsequently in the hospital for diabetes."
370,['http://www.geonames.org/6269131/england.html'],40-150,['NOT AVAILABLE'],0 - 6 MONTHS,Data represents discrete episodes of inpatient stays
371,['https://www.geonames.org/2648147/great-britain.html'],0-99,['NOT AVAILABLE'],OTHER,Secondary care
372,"England, Wales",16-100,['NOT AVAILABLE'],OTHER,Secondary care
373,England,31-59,"['DNA', 'PLASMA', 'SERUM']",OTHER,Not Applicable
374,['United Kingdom'],0-150,['NOT AVAILABLE'],UNKNOWN,Potential covid-19 cases
375,['https://www.geonames.org/2634895/wales.html'],0-115,['NOT AVAILABLE'],1 - 10 YEARS,Primary care
376,['https://www.geonames.org/2648147/great-britain.html'],40-150,['NOT AVAILABLE'],1 - 10 YEARS,Secondary Care
377,['https://www.geonames.org/2634895/wales.html'],15-150,['NOT AVAILABLE'],UNKNOWN,"Covers pregnancy pathway, also linkages to previous pregnancies and previous medical history."
378,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],UNKNOWN,Secondary Care echocardiogram data from Tayside.
379,England,0-115,['NOT AVAILABLE'],UNKNOWN,All pathways pertaining to congenital anomalies
380,Great Britain,0-150,['NOT AVAILABLE'],UNKNOWN,No
381,['https://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html'],Not Known,['NOT AVAILABLE'],OTHER,All secondary care elective pathways
382,"['United Kingdom,England']",0-150,"['DNA', 'TISSUE']",OTHER,Family justice cases
383,https://www.geonames.org/2634343/west-midlands.html,0-20,['AVAILABILITY TO BE CONFIRMED'],1 - 10 YEARS,This dataset shows patient records across all community services commissioned in NWL. Patients in this dataset will have an unique patient key that can be used to link to other Discover-NOW datasets to determine the patient pathway
384,England,18-85,['NOT AVAILABLE'],OTHER,All pathways about patients living in Wales
385,"['United Kingdom,Scotland']",18-85,['NOT AVAILABLE'],OTHER,Treatment / diagnostic intervention referral pathway including welsh residents treated (or waiting for treatment) in England
386,['https://www.geonames.org/2634895/wales.html'],16-150,['NOT AVAILABLE'],OTHER,NOT APPLICABLE
387,United Kingdom (https://www.geonames.org/2635167/united-kingdom.html),0-19,['NOT AVAILABLE'],OTHER,Patients undergoing carotid intervention procedures in hospitals in the UK that have been entered and submitted onto the National Vascular Registry
388,Worldwide,16-150,['NOT AVAILABLE'],> 10 YEARS,All pathways with prescription from primary care
389,https://www.geonames.org/6269131/england.html,16-120,['IN PROGRESS'],1 - 10 YEARS,Education
390,['https://www.geonames.org/2634895/wales.html'],7-16,['NOT AVAILABLE'],OTHER,All pathways pertaining to cancer
391,"['https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html']",0-100,['NOT AVAILABLE'],OTHER,Secondary care
392,['https://www.geonames.org/2641364/northern-ireland.html'],14-32,"['PLASMA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",> 10 YEARS,Secondary
393,https://www.geonames.org/countries/GB/united-kingdom.html,0-150,['NOT AVAILABLE'],UNKNOWN,Key processes and outcomes of care for roughly 1/7th of all babies born in the UK (all babies requiring neonatal care) and the mothers that give birth to them.
394,https://www.geonames.org/countries/GB/united-kingdom.html,0-115,['NOT AVAILABLE\xa0'],OTHER,COPD patients assessed for PR between March 2019 and February 2023.
395,['https://www.geonames.org/6269131/england.html'],0-110,"['CORE BIOPSY', 'PERIPHERAL BLOOD CELLS', 'PLASMA', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",OTHER,Secondary care
396,['https://www.geonames.org/2638360/scotland.html'],0-4,"['DNA', 'PLASMA', 'SERUM', 'WHOLE BLOOD']",> 10 YEARS,Characteristics of hospitals in the UK that provided vascular surgical services in August 2018
397,"['United Kingdom,England']",0-150,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
398,"West Midlands Region, UK",17-100,['NOT AVAILABLE'],UNKNOWN,Administrative. Linkable to health datasets across patient pathway.
399,"['United Kingdom,Wales']",18-80,['NOT AVAILABLE'],UNKNOWN,Patients undergoing lower limb amputation procedures in hospitals in the UK that have been entered and submitted onto the National Vascular Registry
400,"England, UK",20-64,['IN PROGRESS'],6 - 12 MONTHS,Single tier of care - Secondary care outpatients
401,Wales,0-150,['NOT AVAILABLE'],1 - 10 YEARS,Primary care prescription data limited to Tayside and Fife regions in Scotland only.
402,"['United Kingdom,England,East Midlands']",0-150,['NOT AVAILABLE'],> 10 YEARS,Data is from healthy volunteers with ancestry from the Northern isles of Scotland.
403,Wales,0-150,['NOT AVAILABLE'],UNKNOWN,"The dataset includes all patients with a positive laboratory test for SARS-COV-2 that are reported to the UK Renal Registry by renal centres in England, Northern Ireland and Wales."
404,['https://www.geonames.org/2634895/wales.html'],10-110,"['PERIPHERAL BLOOD CELLS', 'PLASMA', 'PRIMARY CELLS', 'SERUM', 'TISSUE', 'WHOLE BLOOD']",OTHER,Secondary Care
405,['https://www.geonames.org/2634895/wales.html'],Not Known,['NOT AVAILABLE'],UNKNOWN,Not Available
406,"['https://www.geonames.org/2646895/hillingdon.html', 'https://www.geonames.org/2634341/city-of-westminster.html', 'https://www.geonames.org/3333157/royal-kensington-and-chelsea.html', 'https://www.geonames.org/3333151/harrow.html', 'https://www.geonames.org/3333132/brent.html', 'https://www.geonames.org/2650567/ealing.html', 'https://www.geonames.org/3333155/hounslow.html', 'https://www.geonames.org/3333149/hammersmith-and-fulham.html']",0-150,['NOT AVAILABLE'],UNKNOWN,Testing results so may including multiple per person
407,"West Midlands Region, UK",18-150,['PM TISSUE'],> 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
408,England,15-150,['NOT AVAILABLE'],UNKNOWN,"The TPCKD data were collected from more than 3,000 patients with CKD, including those on KRT, who were being treated at 10 renal centres in England between 2016 and 2018. The TP2 programme collected data from more than 200 patients with CKD, not on KRT, being treated at 4 renal centres in England in 2018."
409,['https://www.geonames.org/2636157/tayside-region.html'],18-65,['NOT AVAILABLE'],OTHER,Secondary Care
410,['https://www.geonames.org/1168579/islamic-republic-of-pakistan.html'],0-150,['NOT AVAILABLE'],UNKNOWN,"The populations includes are broadly representative general populations, with differing age ranges (detailed in 10.1038/s41588-018-0321-7) and were not ascertained on disease status. Data from 22 studies with quantitative lung function measures, 79,055 samples with FEV1 and FVC, 24,218 samples with peak expiratory flow."
411,Northern Ireland,0-24,['NOT AVAILABLE'],1 - 10 YEARS,Multiple health care settings where cancer is diagnosed
412,['https://www.geonames.org/1168579/islamic-republic-of-pakistan.html'],15-150,['NOT AVAILABLE'],> 10 YEARS,"Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data. Data includes those with and without COVID admitted during the first wave of the COVID pandemic."
413,"['United Kingdom,Scotland']",18-80,['NOT AVAILABLE'],UNKNOWN,Cancer registration data are collected from a range of health care provider systems and other services.
414,https://www.geonames.org/countries/GB/united-kingdom.html,0-150,['NOT AVAILABLE'],UNKNOWN,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
415,England,18-115,['NOT AVAILABLE'],OTHER,N/A
416,England,0-150,['NOT AVAILABLE'],0 - 6 MONTHS,Secondary care
417,NHS Brent CCG; NHS Central London CCG; NHS Ealing CCG; NHS Hammersmith &Fulham CCG; NHS Harrow CCG; NHS Hillingdon CCG; NHS Hounslow CCG; NHS West London CCG,Not Known,['NOT AVAILABLE'],UNKNOWN,General Practice only
418,"['United Kingdom,England,West Midlands']",15-150,['NOT AVAILABLE'],OTHER,"Adult patients aged 18 and over who undergo an expedited, urgent or emergency (NCEPOD definitions) abdominal procedure on the gastrointestinal tract; this includes open, laparoscopic, or laparoscopically-assisted procedures involving the stomach, small or large bowel, or return for conditions such as perforation, ischaemia, abdomical abcess, bleeding, or obstruction.
Each year, over 20,000 patients undergoing emergency laparotomy are included in the NELA database; since inception, there have been over 165,000 patients registered"
419,UK,0-115,['NOT AVAILABLE'],OTHER,This table contains list of postcodes showing the pollution reading. Patient pathway can be worked out by linking this table with the patient index table available as part of Discover-NOW
420,England,40-150,"['DNA', 'AVAILABILITY TO BE CONFIRMED']",1 - 10 YEARS,Secondary care
421,United Kingdom,0-115,['SERUM'],OTHER,Secondary care
422,['https://www.geonames.org/6269131/england.html'],0-115,['NOT AVAILABLE'],> 10 YEARS,Structure and resource of PR services July - September 2019.
423,United Kingdom and beyond,0-4,['NOT AVAILABLE'],1 - 10 YEARS,"Data is representative of the multi-ethnicity population within the West Midlands (42% non white). Data includes all patients admitted during this timeframe, with National data Opt Outs applied, and therefore is representative of admissions to secondary care. Data focuses on in-patient stay in hospital during the acute episode but can be supplemented on request to include previous and subsequent hospital contacts (including outpatient appointments) and ambulance, 111, 999 data."
424,England,0-150,['NOT AVAILABLE'],UNKNOWN,Administrative data. can be linked to health data across all pathways.
425,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],OTHER,Secondary care
426,['https://www.geonames.org/6269131/england.html'],0-150,['NOT AVAILABLE'],UNKNOWN,Secondary care data only
427,England,0-150,['NOT AVAILABLE'],UNKNOWN,Cancer registration data are collected from a range of health care provider systems and other services.
428,['https://www.geonames.org/countries/GB/united-kingdom.html'],0-150,['NOT AVAILABLE'],0 - 6 MONTHS,Not Applicable
429,https://www.geonames.org/countries/GB/united-kingdom.html,17-110,['NOT AVAILABLE'],OTHER,Education
430,"['https://www.geonames.org/3042225/isle-of-man.html', 'https://www.geonames.org/3042363/guernsey.html', 'https://www.geonames.org/6269131/england.html', 'https://www.geonames.org/2634895/wales.html', 'https://www.geonames.org/2641364/northern-ireland.html']",0-115,['NOT AVAILABLE'],1 - 10 YEARS,COMMUNITY SERVICES
431,Wales,0-115,"['DNA', 'PLASMA', 'PRIMARY CELLS', 'WHOLE BLOOD']",OTHER,Volunteers are recruited from participating primary care practices
