,memberOf,name,identifier,contactPoint
661,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
662,HUB,BREATHE,,
663,ALLIANCE,TISSUE DIRECTORY,,
664,HUB,INSIGHT,,
665,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
666,ALLIANCE,CPRD,,
667,ALLIANCE,SAIL,,
668,ALLIANCE,SAIL,,
669,ALLIANCE,TISSUE DIRECTORY,,
670,ALLIANCE,SAIL,,
671,ALLIANCE,CPRD,,
672,ALLIANCE,NHS DIGITAL,,
673,ALLIANCE,CYSTIC FIBROSIS TRUST,,
674,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
675,ALLIANCE,CYSTIC FIBROSIS TRUST,,
676,HUBS,DATAMIND,,
677,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
678,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
679,ALLIANCE,TISSUE DIRECTORY,,
680,ALLIANCE,SAIL,,
681,ALLIANCE,HQIP,,
682,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
683,ALLIANCE,TISSUE DIRECTORY,,
684,ALLIANCE,SAIL,,
685,ALLIANCE,BARTS HEALTH,,
686,ALLIANCE,SAIL,,
687,HUB,DISCOVER NOW,,
688,ALLIANCE,SAIL,,
689,HUB,BREATHE,,
690,ALLIANCE,SAIL,,
691,NCS,OFFICE FOR NATIONAL STATISTICS,,
692,ALLIANCE,TISSUE DIRECTORY,,
693,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
694,ALLIANCE,HQIP,,
695,ALLIANCE,HQIP,,
696,ALLIANCE,SAIL,,
697,HUB,GUT REACTION,,
698,ALLIANCE,SAIL,,
699,ALLIANCE,SAIL,,
700,ALLIANCE,QResearch,,
701,ALLIANCE,SAIL,,
702,ALLIANCE,HQIP,,
703,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
704,OTHER,The University of Cambridge,,
705,HUB,BREATHE,,
706,OTHER,UNIVERSITY OF CAMBRIDGE,,
707,ALLIANCE,TISSUE DIRECTORY,,
708,ALLIANCE,HQIP,,
709,ALLIANCE,NIHR Nottingham Biomedical Research Centre,,
710,ALLIANCE,CPRD,,
711,HUB,BREATHE,,
712,HUBS,ALLEVIATE,,
713,HUBS,ALLEVIATE,,
714,ALLIANCE,COVID-19 GENOMICS UK,,
715,ALLIANCE,GENERATION SCOTLAND,,
716,ALLIANCE,HQIP,,
717,ALLIANCE,BARTS HEALTH,,
718,HUB,PIONEER,,
719,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
720,ALLIANCE,SAIL,,
721,ALLIANCE,TISSUE DIRECTORY,,
722,ALLIANCE,HQIP,,
723,HUB,BREATHE,,
724,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
725,HUB,BREATHE,,
726,ALLIANCE,SAIL,,
727,ALLIANCE,TISSUE DIRECTORY,,
728,ALLIANCE,NIHR BIORESOURCE,,
729,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
730,HUBS,ALLEVIATE,,
731,ALLIANCE,TISSUE DIRECTORY,,
732,ALLIANCE,TISSUE DIRECTORY,,
733,OTHER,VIKING GENES,,
734,HUB,BREATHE,,
735,ALLIANCE,RENAL ASSOCIATION,,
736,HUB,DATA-CAN,,
737,HUB,GUT REACTION,,
738,ALLIANCE,SAIL,,
739,ALLIANCE,HQIP,,
740,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
741,ALLIANCE,TISSUE DIRECTORY,,
742,ALLIANCE,NIHR BIORESOURCE,,
743,ALLIANCE,HQIP,,
744,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
745,HUB,PIONEER,,
746,ALLIANCE,RENAL ASSOCIATION,,
747,ALLIANCE,UNIVERSITY OF NOTTINGHAM,,
748,HUB,BREATHE,,
749,ALLIANCE,CPRD,,
750,ALLIANCE,QResearch,,
751,HUB,PIONEER,,
752,ALLIANCE,TISSUE DIRECTORY,,
753,ALLIANCE,CPRD,,
754,HUB,PIONEER,,
755,ALLIANCE,TISSUE DIRECTORY,,
756,HUB,GUT REACTION,,
757,ALLIANCE,SAIL,,
758,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
759,ALLIANCE,HQIP,,
760,ALLIANCE,HQIP,,
761,ALLIANCE,TISSUE DIRECTORY,,
762,ALLIANCE,GREAT ORMOND STREET HOSPITAL,,
763,HUBS,ALLEVIATE,,
764,HUB,DISCOVER NOW,,
765,HUB,BREATHE,,
766,ALLIANCE,SAIL,,
767,ALLIANCE,CPRD,,
768,HUB,GUT REACTION,,
769,ALLIANCE,HQIP,,
770,HUB,PIONEER,,
771,ALLIANCE,SAIL,,
772,ALLIANCE,CPRD,,
773,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
774,HUBS,DATAMIND,,
775,HUB,BREATHE,,
776,ALLIANCE,CPRD,,
777,ALLIANCE,SAIL,,
778,ALLIANCE,SAIL,,
779,ALLIANCE,NHS DIGITAL,,
780,ALLIANCE,TISSUE DIRECTORY,,
781,OTHER,MRC EPIDEMIOLOGY UNIT - UNIVERSITY OF CAMBRIDGE,,
782,ALLIANCE,HQIP,,
783,ALLIANCE,TISSUE DIRECTORY,,
784,ALLIANCE,NHS DIGITAL,,
785,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
786,HUBS,DATAMIND,,
787,ALLIANCE,QResearch,,
788,ALLIANCE,BARTS HEALTH,,
789,ALLIANCE,CPRD,,
790,NCS,OFFICE FOR NATIONAL STATISTICS,,
791,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
792,ALLIANCE,SAIL,,
793,ALLIANCE,SAIL,,
794,HUB,PIONEER,,
795,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
796,ALLIANCE,QResearch,,
797,HUB,DISCOVER NOW,,
798,ALLIANCE,BARTS HEALTH,,
799,ALLIANCE,SAIL,,
800,HUB,PIONEER,,
801,OTHER,Oxford Research Archive,,
802,ALLIANCE,QResearch,,
803,ALLIANCE,QResearch,,
804,HUB,INSIGHT,,
805,ALLIANCE,HQIP,,
806,ALLIANCE,HQIP,,
807,ALLIANCE,SAIL,,
808,HUB,DISCOVER NOW,,
809,ALLIANCE,TISSUE DIRECTORY,,
810,ALLIANCE,SAIL,,
811,ALLIANCE,NHS DIGITAL,,
812,ALLIANCE,NHS DIGITAL,,
813,HUB,PIONEER,,
814,OTHER,Born in Bradford,,
815,ALLIANCE,PARKINSONS UK,,
816,ALLIANCE,SAIL,,
817,ALLIANCE,IMPERIAL COLLEGE LONDON,,
818,ALLIANCE,TISSUE DIRECTORY,,
819,ALLIANCE,TISSUE DIRECTORY,,
820,ALLIANCE,HQIP,,
821,ALLIANCE,UNIVERSITY HOSPITALS OF LEICESTER,,
822,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
823,ALLIANCE,SAIL,,
824,HUB,BREATHE,,
825,ALLIANCE,HEALTH INFORMATICS CENTRE - UNIVERSITY OF DUNDEE,,
826,ALLIANCE,UNIVERSITY OF NOTTINGHAM,,
827,ALLIANCE,HQIP,,
828,ALLIANCE,HQIP,,
829,ALLIANCE,CPRD,,
830,HUB,DISCOVER NOW,,
831,ALLIANCE,HQIP,,
832,ALLIANCE,TISSUE DIRECTORY,,
833,ALLIANCE,NHS DIGITAL,,
834,HUB,BREATHE,,
835,ALLIANCE,CPRD,,
836,ALLIANCE,HQIP,,
837,ALLIANCE,TISSUE DIRECTORY,,
838,ALLIANCE,SAIL,,
839,HUB,PIONEER,,
840,ALLIANCE,HQIP,,
841,ALLIANCE,TISSUE DIRECTORY,,
842,ALLIANCE,PUBLIC HEALTH SCOTLAND,,
843,HUB,PIONEER,,
844,HUB,BREATHE,,
845,ALLIANCE,HEALTH AND SOCIAL CARE NORTHERN IRELAND,,
846,HUBS,ALLEVIATE,,
847,ALLIANCE,TISSUE DIRECTORY,,
