,description,associatedMedia,isPartOf
307,"VinCaP is a phase II, multicentre, non-randomised trial of Vinflunine chemotherapy in locally-advanced and metastatic carcinoma of the Penis. 22 evaluable participants will be recruited from 9 centres and all patients will receive 4 cycles of IV vinflunine 320mg/m2 on day 1, to be repeated at intervals of 21 days. The primary endpoint, determined by RECIST v1.1, is clinical benefit (objective response + stable disease rate) measured after four cycles of vinflunine chemotherapy. Secondary endpoints are objective response rate (CR+PR), toxicity, progression-free survival, overall survival and treatment compliance. Formalin fixed paraffin embedded (FFPE) tumour blocks are held at the Orchid Tissue Laboratory and Barts and The London School of Medicine and Dentistry.",['https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/directions-and-data-provision-notices/data-provision-notices-dpns/sgss-and-chess-data'],No Group
308,"CPRD GOLD linked National Cancer Registration and Analysis Service (NCRAS) cancer registration data contain records for each registrable tumour diagnosed or treated in England, of which the NCRAS has been notified.",['https://www.parkinsons.org.uk/professionals/uk-parkinsons-audit-transforming-care'],CVD-COVID-UK
309,"ISAR is the first global severe asthma registry; a joint initiative where national registries (both newly created and pre-existing) retain ownership of their own data but open their borders and share data with ISAR for ethically approved research purposes. The ISAR initiative is conducted by Optimum Patient Care Global Limited (OPC), with scientific oversight from the ISAR Core Steering Committee (ISC), academic support from the Respiratory Effectiveness Group (REG), ethical governance from the Anonymized Data Ethics & Protocol Committee (ADEPT), co-funding from OPC and AstraZeneca since May 2017. Prospective patient recruitment by 2022 is 13,150 patients with severe asthma.","['https://imperialcollegehealthpartners.com/discover-now/north-west-london-covid-19-data-repository/', 'https://www.nwlondonccgs.nhs.uk/professionals/whole-systems-integrated-care-wsic-dashboards-and-information-sharing/information-de-identified-users']",NOT APPLICABLE
310,"CPRD Aurum linked Mental Health Dataset (MHDS) is a collection of patient records of individuals who accessed secondary care adult mental health services and who are thought to be suffering from a mental illness. The data include information about the type and location of care received, different episodes of care received within a spell of illness and the events that occurred such as recording of Health of the Nation Outcome Scales (HoNOS) scores, Patient Health Questionnaire (PHQ-9) scores or diagnoses. MHDS data can be used to support research into resource utilisation and provide information about patient access to secondary mental health care services. This can be useful to understand patient pathways and consider associations between primary care and access to and outcomes recorded in secondary mental health care services.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",NOT APPLICABLE
311,This dataset provides information about educational activity within Wales..,"['https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets/emergency-care-data-set-ecds', 'https://datadictionary.nhs.uk/data_sets/cds_v6-2/cds_v6-2-1_type_011_-_emergency_care_cds.html']",NOT APPLICABLE
312,"Restoration of elective activity is one of the highest priorities for NHS England and NHS Improvement following the impact of the Covid-19 pandemic. Understanding the composition of the waiting list is critical to managing restoration within North West London. 

Data will be collected via data submissions made by each individual provider of NHS Acute healthcare services in North West London. This dataset includes data from Imperial College Healthcare NHS Trust, Chelsea and Westminster NHS Foundation Trust, London North West Healthcare NHS Trust and The Hillingdon Hospital NHS Trust. Data will be processed under an Information Sharing Agreement between North West London CCG and each organisation. Data submissions will be processed and used for the following purposes:
  1.  Developing a visual display of the waiting list composition (Elective Waiting List Data Dashboard).
  2.  Developing a data quality improvement programme with providers.

All open (incomplete) and planned diagnostic waits for modalities in scope DM01 before 23:59 on Sunday of the reporting period.",['https://www.hqip.org.uk/a-z-of-nca/national-audit-of-care-at-the-end-of-life/'],NOT APPLICABLE
313,"Extract from ISD's Renal register for Tayside and Fife. Patients included are High Dependency, Peritoneal Dependent and transplant. Patients excluded would be any others. Eg Low Clearance, Renal Referrals - basically any patients who are not actually dialysing or transplanted.","['https://www.isdscotland.org/Health-Topics/Scottish-Healthcare-Audits/Scottish-Intensive-Care-Society-Audit-Group/', 'https://www.sicsag.scot.nhs.uk/publications/main.htm']",National Clinical Audit and Patient Outcomes Programme (NCAPOP)
314,"The Moorfields Ophthalmic Prescription Dataset is a longitudinal dataset consisting of routinely collected prescription data from patients who have received and are receiving treatment at Moorfields Eye Hospital NHS Foundation Trust, from 2016 to the present. 

This dataset encompasses all patients at Moorfields Eye Hospital NHS Foundation Trust - a leading provider of eye health services in the UK and a world-class centre of excellence for ophthalmic research and education",['https://www.cprd.com/linked-data'],University of Dundee Health Informatics Centre
315,"The NIHR Bioresource consists of several groups of participants: ~70k from the general population and blood donors (COMPARE, INTERVAL and STRIDES studies); ~19k with one of ~50 rare diseases (RD) including a ~5k pilot for GEL; ~30k with Inflammatory Bowel Disease (IBD) which include the members of Gut Reaction, the Health Data Research Hub for IBD; and ~20k with Anxiety or depression (GLAD study). It intends to extend recruitment in all areas, and to other rare and common disease groups, with a target of ~300k by 2022.  The NIHR BioResource acquires a case report form at recruitment for each participant recruited on the basis of their disease. Typically variables include questions that may be used to partition or group patients by their disease course and severity, and include disease history and medication use. This is used to pre-screen or match participants when inviting them to take part in experimental medicine studies. De-identified versions of this data is available to researchers investigating the feasibility of future studies.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",BREATHE
316,"The National Joint Registry for England, Wales, Northern Ireland and the Isle of Man is a database containing details of all primary and revision total hip, knee, shoulder, elbow and ankle replacement procedures carried out in NHS and independent sector hospitals in England, Wales, Northern Ireland and the Isle of Man.  Primary hip replacement has its own specific dataset for procedures.
Initially this data is collected during a patient's time at hospital as part of bespoke data collection to support the NJR . This is submitted to NEC Software Solutions (contracted to the NJR) for processing and is used to monitor the quality and safety of patient care and outcomes. 
This same data can also be processed and used for non-clinical purposes, such as research and planning health services. Because these uses are not to do with direct patient care, they are called 'secondary uses'. This is the NJR research ready data set.
NJR data covers all procedures carried out in NHS and independent sector hospitals  in England, Wales (from 2003), Northern Ireland )from 2013), the Isle of Man (from 2015) and the States of Guernsey (from 2019).
Each NJR record contains a wide range of information about an individual patient treated at an NHS or independent sector hospital, including:
• clinical information about surgical indications and operations
• patient information, such as age group and gender
• component information, such as the brand and size of prosthesis used
• outcomes, such as whether a revision procedure has been undertaken
NJR apply a strict statistical disclosure control in accordance with the NHS Digital protocol, to all published NJR data. This suppresses small numbers to stop people identifying themselves and others, to ensure that patient confidentiality is maintained.
Who NJR data is for
NJR can provide data for the purpose of healthcare analysis to the NHS, government and others including:
• national bodies and regulators, such as the Department of Health, NHS England, Public Health England, NHS Improvement and the CQC
• local Clinical Commissioning Groups (CCGs)
• provider organisations
• government departments
• researchers and commercial healthcare bodies
• National Institute for Clinical Excellence (NICE)
• patients, service users and carers
• the media
Uses of the statistics
The statistics are known to be used for:
• national policy making
• benchmarking performance against other hospital providers or CCGs  
• academic research
• analysing service usage and planning change
• providing advice to ministers and answering a wide range of parliamentary questions
• national and local press articles
• international comparison
More information can be found at http://www.njrcentre.org.uk/njrcentre/",['https://saildatabank.com/about-us/overview/'],UKCRC Tissue Directory and Coordination Centre
317,"The MHSDS brings together information captured on clinical systems as part of patient care. It covers:

adult and children's mental health
learning disabilities or autism spectrum disorder
Children and Young People Improving Access to Psychological Therapies (CYP-IAPT) services
early intervention care pathway
The MHSDS covers not only services provided in hospitals but also outpatient clinics and in the community, where the majority of people in contact with these services are treated.",['https://dataloch.org/data/about-the-data'],Not Applicable
318,"Administrative and clinical information for all NHS Wales Accident and Emergency department attendances. Includes the All Wales Injury Surveillance Systems (AWISS) dataset.

Data recording practices may vary, especially in some of the minor A&E and Minor Injury Units which could account for some local differences.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",National Clinical Audit and Patient Outcomes Programme (NCAPOP)
319,"Tayside and Fife labs biochemistry data. This data is provided in a format based upon the SCI-Store system.  Data prior to 2007 for Tayside has been transformed to fit this new structure. There is no legacy data for Fife as this data starts in 2005/6 and all comes from SCI-Store. 
 
Data is complete in later years, but for older Tayside data (particularly pre-98), there may be missing patches in Ninewells data.

Perth data incomplete as early computer systems were simply turned off and data was lost.
Stracathro data became computerised much later than the other labs.

This is a complex dataset which is supplied in a hierarchical form, this extract is a flattening of that hierarchy by HIC.",['https://saildatabank.com/about-us/overview/'],Unscheduled Care
320,"The Moorfields AMD Dataset is a longitudinal dataset consisting of routinely collected imaging and clinical metadata from patients receiving treatment for age-related macular degeneration (AMD) at Moorfields, from 2004 to the present. 

This dataset encompasses all patients at Moorfields Eye Hospital - the large eye hospital in either Europe or North America - who have received at least one injection of either Lucentis (ranibizumab) or Eylea (aflibercept). These therapies began at Moorfields in 2007, however, the dataset will include any imaging or clinical metadata that is available for these patients prior to that time (for example in patients who were initially monitored for the early or intermediate forms of this disease prior to receiving treatment). Also of note, this dataset will include data from both eyes in each case - for example, it will include data from fellow eyes that are not receiving injections. For these reasons, the dataset will include longitudinal data from a mixture of eyes with both “dry” and “wet” AMD. 

Clinical metadata includes demographic information, visual acuities (predominantly measured with Early Treatment Diabetic Retinopathy Study (ETDRS) charts), diabetic retinopathy grading, and information regarding intravitreal therapies and ocular surgeries. 

Imaging metadata includes colour fundus photographs, optical coherence tomography (OCT) scans (Topcon, Heidelberg), fundus autofluorescence (Heidelberg), fluorescein and indocyanine green angiography (Heidelberg). 

This dataset is continuously updating, however, as of February 2021, it consisted of 10,966 eyes receiving Lucentis or Eylea for AMD, 175,657 injection episodes, and 1,883,796 ophthalmic images. This is the largest single centre database from patients with AMD and covers more than a decade of follow-up for these patients.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",University of Dundee Health Informatics Centre
321,"The National Cancer Registration and Analysis Service (NCRAS), one of the largest, most advanced and complex cancer data curation service anywhere in the world, collects data on all cases of cancer that occur in people living in England. NCRAS routinely collects patient and tumour level information to build a picture of the cancer patient pathway, through the Cancer Outcomes and Services Dataset (COSD). NCRAS merges data from multiple datasets to create the National Cancer Registration Dataset, which is then enhanced with data from other sources.

National Cancer Registration Dataset: Patient, tumour and treatment information linked by NHS number, including a subset of COSD. Data Resource Profile: National Cancer Registration Dataset https://academic.oup.com/ije/article/49/1/16/5476570 

Rapid Cancer Registration Dataset: Proxy tumour registrations and some associated events on the cancer patient pathway (eg surgery, radiotherapy and chemotherapy) from January 2018 to the most recently available data (approximately 4 months after clinical activity). http://www.ncin.org.uk/collecting_and_using_data/rcrd

Systemic Anti Cancer Therapy (SACT) dataset: Data on SACT activities, which includes chemotherapy, from all NHS England chemotherapy providers since April 2021. Data Resource Profile: The Systemic Anti-Cancer Therapy (SACT) dataset https://academic.oup.com/ije/article/49/1/15/5538002 

Radiotherapy dataset (RTDS): The national data standard for collecting information about radiotherapy treatment since 2009; data from all NHS Acute Trust providers of radiotherapy services in England

National Cancer Diagnosis Audit (NCDA): Participating GPs securely submit information about the primary care part of the pathway for their patients who were diagnosed with cancer during the audit timeframe

Hospital Episodes Statistics (HES): Administrative data on hospital admissions linked to cancer registrations, including inpatient, outpatient and A&E attendances and appointments

Diagnostic Imaging Dataset (DID): Information on diagnostic imaging tests linked to cancer registrations, including the type of test used, where on the body it was conducted, and the source of referral

National Cancer Waiting Times (CWT) Monitoring data: Data on the time between referral, diagnosis and treatment for cancer patients

National Cancer Patient Experience Survey (CPES): Data based on surveys sent to patients asking about their cancer journey from symptoms, diagnosis and treatment to aftercare.

Patient Reported Outcome Measures (PROMs) datasets: Data from patient surveys about their experience of their journey from diagnosis to aftercare, for bladder, breast, colorectal, gynaecological, Non-Hodgkin Lymphoma and prostate cancer.

For details on the coverage and availability of each of these individual datasets, see https://www.gov.uk/guidance/national-cancer-registration-and-analysis-service-ncras#guides-to-cancer-data-and-working-with-us and on the “Technical details” tab.","['https://www.genomicsengland.co.uk/about-genomics-england/the-100000-genomes-project/', '']",University of Dundee Health Informatics Centre
322,"Linked Hospital Episode Statistics Admitted Patient Care (HES APC) data contains details of all admissions to, or attendances at English NHS healthcare providers. This includes private patients treated in NHS hospitals, patients resident outside of England and care delivered by treatment centres (including those in the independent sector) funded by the NHS. All NHS healthcare providers in England, including acute hospital trusts, primary care trusts and mental health trusts provide data. HES APC data includes the complete set of hospital episode information (admission and discharge dates, diagnoses (identifying primary diagnosis), specialists seen under and procedures undertaken) for each linked patient with a hospitalisation record. In addition, Augmented care data (intensive and/or high dependency levels of care) and Maternity data are available.",['https://www.cprd.com/linked-data'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
323,"The purpose of this dataset is to understand the prevalence of the coronavirus in the UK population, using longitudinal data and including not only cross-sectional data but the inclusion of an antibody test for a sub-sample of people. Demographic information is also included allowing for analyse by different variables to identify patterns and trends.

Participants have three options open to them; can have just have one visit, can have a visit every week for a month or, can have a visit every week for a month and then continue to have visits every month for one year in total from when you joined the study. This is entirely voluntary.

At each visit a field worker conducts a questionnaire, and supervises swab tests. A proportion of visits also include a blood sample being taken. The swab and blood samples are tested at laboratories.

The overall purpose of this study is to understand how many people across the UK have or may already have had the coronavirus. This will help the government manage the pandemic moving forwards.

The COVID-19 Community Infection Survey includes information on:
• how many people across England and Wales (extending to Scotland and Northern Ireland) test positive for COVID-19 at a given point in time, regardless of whether they report experiencing symptoms
• the average number of new infections per week over the course of the study
• the number of people who test positive for antibodies, to indicate how many people are ever likely to have had the virus
• key demographic information (sex, age, occupation)",['http://parkinsons.org.uk/audit'],National Waiting List
324,"NHAIS is responsible for providing critical national systems and providing a large range of products and services underpinning vital operations in the NHS.

These data-intense services include payments to GPs and managing Patient Registration records.",[''],NOT APPLICABLE
325,"Frailty is a syndrome of increased vulnerability to incomplete resolution of homeostasis (healing or return to baseline function) following a stressor event (such as an infection or fall) and it is associated with poor outcomes including increased mortality and reduced quality of life. Prevalence increases with age, but it should not be considered an inevitable consequence of ageing.

The pathophysiology of frailty is poorly understood but the immune and endocrine systems appear to be involved in its development or response. Age and frailty have been proven to be independently predictive of outcomes in patients admitted with an acute illness. 

In COVID-19, routine frailty identification has been used to inform decision making about high level of treatment. This is because frailty usually moderates the effect of age on mortality. Anecdotally, this effect has not been recognised by clinicians looking after older COVID-19 patients. Four papers have been published so far on the effect of frailty on COVID-19 with differing results.  However, all papers show the independent predictive value of age when controlling for frailty, which is not usually seen in studies of age and frailty in other acute illnesses.

PIONEER geography
The West Midlands (WM) has a population of 5.9 million & includes a diverse ethnic & socio-economic mix. 

EHR: UHB is one of the largest NHS Trusts in England, providing direct acute services & specialist care across four hospital sites, with 2.2 million patient episodes per year, 2750 beds & an expanded 250 ITU bed capacity during COVID. UHB runs a fully electronic healthcare record (EHR) (PICS; Birmingham Systems), a shared primary & secondary care record (Your Care Connected) & a patient portal “My Health”.

Scope: All patients aged 18 years and above admitted for an acute illness in hospitals within University Hospitals Birmingham NHS trust during the COVID-19 pandemic. The dataset includes highly granular patient demographics & co-morbidities taken from ICD-10 & SNOMED-CT codes. Serial, structured data pertaining to acute care process (timings, staff grades, specialty review, wards), presenting complaint, acuity, all physiology readings (pulse, blood pressure, respiratory rate, oxygen saturations), all blood results, imaging reports, all prescribed & administered treatments (fluids, blood products, procedures), all outcomes.

Available supplementary data: Matched controls; ambulance, synthetic data.

Available supplementary support: Analytics, Model build, validation & refinement; A.I.; Data partner support for ETL (extract, transform & load) process, Clinical expertise, Patient & end-user access, Purchaser access, Regulatory requirements, Data-driven trials, “fast screen” services.",['https://www.ed.ac.uk/usher/respire/acute-respiratory-disorders/pneumonia-case-management'],"UK Renal Registry, The Renal Association"
326,In Progress,['https://www.njrcentre.org.uk/njrcentre/Research/Research-requests'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
327,"Initially this data is collected during a patient's time at hospital as part of the Commissioning Data Set (CDS). This is submitted to NHS Digital for processing and is returned to healthcare providers as the Secondary Uses Service (SUS) data set and includes information relating to payment for activity undertaken. It allows hospitals to be paid for the care they deliver. 
This same data can also be processed and used for non-clinical purposes, such as research and planning health services. Because these uses are not to do with direct patient care, they are called 'secondary uses'. This is the SUS data set.
SUS data covers all NHS Clinical Commissioning Groups (CCGs) in England, including:
1. private patients treated in NHS hospitals
2. patients resident outside of England
3. care delivered by treatment centres (including those in the independent sector) funded by the NHS

Each SUS record contains a wide range of information about an individual patient admitted to an NHS hospital, including:
1. clinical information about diagnoses and operations
2. patient information, such as age group, gender and ethnicity
3. administrative information, such as dates and methods of admission and discharge
4. geographical information such as where patients are treated and the area where they live

NHS Digital apply a strict statistical disclosure control in accordance with the NHS Digital protocol, to all published SUS data. This suppresses small numbers to stop people identifying themselves and others, to ensure that patient confidentiality is maintained.

Who SUS is for
SUS provides data for the purpose of healthcare analysis to the NHS, government and others including:

The Secondary Users Service (SUS) database is made up of many data items relating to A&E care
delivered by NHS hospitals in England. Many of these items form part of the national Commissioning Data Set (CDS), and are generated by the patient administration systems within each hospital.
1. national bodies and regulators, such as the Department of Health, NHS England, Public Health England, NHS Improvement and the CQC
2. local Clinical Commissioning Groups (CCGs)
3. provider organisations
4. government departments
5. researchers and commercial healthcare bodies
6. National Institute for Clinical Excellence (NICE)
7. patients, service users and carers
8. the media

Uses of the statistics
The statistics are known to be used for:
1. national policy making
2. benchmarking performance against other hospital providers or CCGs  
3. academic research
4. analysing service usage and planning change
5. providing advice to ministers and answering a wide range of parliamentary questions
6. national and local press articles
7. international comparison

More information can be found at 
https://digital.nhs.uk/data-and-information/data-tools-and-services/data-services/hospital-episode-statistics
https://digital.nhs.uk/data-and-information/publications/statistical/hospital-accident--emergency-activity""","['https://saildatabank.com/about-us/overview/', 'https://covid.joinzoe.com/data']",University of Dundee Health Informatics Centre
328,"Samples of wastewater are collected 7 days a week from wastewater treatment plants across England. Samples are analysed to determine the number of gene copies of SARS-CoV-2 per litre using quantitative PCR. The N1 abundance is reported as gene copies per litre of wastewater sample collected. No adjustments for analytical efficiency has been applied.

The dataset captures quality assured data: checked and quality assured molecular and inorganic outputs. The lag from sample collection to sample reported is around 48 hours.",['https://www.cprd.com/linked-data'],"ONS, COVID"
329,"CPRD Aurum linked Hospital Episode Statistics Admitted Patient Care (HES APC) data contains details of all admissions to, or attendances at English NHS healthcare providers. This includes private patients treated in NHS hospitals, patients resident outside of England and care delivered by treatment centres (including those in the independent sector) funded by the NHS. All NHS healthcare providers in England, including acute hospital trusts, primary care trusts and mental health trusts provide data.
HES APC data includes the complete set of hospital episode information (admission and discharge dates, diagnoses (identifying primary diagnosis), specialists seen under and procedures undertaken) for each linked patient with a hospitalisation record. In addition, Augmented care data (intensive and/or high dependency levels of care) and Maternity data are available.",[''],CPRD Aurum
330,"Available for patients diagnosed with Cancer (ICD10 C00-97, D00-48) from 1 January 1995 - 31 December 2017
        
        This dataset brings together data from more than 500 local and regional datasets to build a picture of an individual’s treatment from diagnosis. Please note that pseudo_tumour_ids in AV tables and in SACT are assigned to participants by NCRAS and do not link to the tumour_ids assigned by GeL for sequencing and clinical data. Whilst (particularly in the case of single tumour) this may refer to the same cancer, caution should be applied prior to any analysis.
        
        av_patient	
        
        Patient information - demographics and death details.
        av_tumour	
        
        Tumour catalogue and characterisation for all patients with registerable tumour. Table's <pseudo_tumour_id> is used to link treatment tables also available in NCRAS. One row per tumour (av* table specific pseudo_tumour_id), per participant at the point of registration of that cancer/tumour with NCRAS.  
        
        av_treatment	
        
        Tumour linked catalogue of treatments and sites that provided them for all patients with registerable tumour. 
        
        av_imd	
        The Income Deprivation Domain (IMD table) measures the proportion of the population experiencing deprivation relating to low income. The definition of low income used includes both those people that are out-of-work and those that are in work but who have low earnings.
        
        av_rtd	
        Routes to Diagnosis: cancer registration data are combined with Administrative Hospital Episode Statistics data, Cancer Waiting Times data and data from the cancer screening programmes. Using these datasets cancers registered in England which were diagnosed in 2006 to 2016 are categorised into one of eight Routes to Diagnosis. The methodology is described in detail in the British Journal of Cancer article 'Routes to Diagnosis for cancer - Determining the patient journey using multiple routine datasets'.
        cwt
        
        The National Cancer Waiting Times Monitoring Data Set supports the continued management and monitoring of waiting times
        
        sact
        
        Systemic Anti-Cancer Therapy (chemotherapy detail) data for cancer participants from PHE covering regimens between 03/2015 and 12/2017. One row per chemotherapy cycle, per tumour (SACT-specific pseudo_tumour_id), per participant.  
        
        rtds
        
        The Radiotherapy Data Set (RTDS) standard (SCCI0111) is an existing standard that has required all NHS Acute Trust providers of radiotherapy services in England to collect and submit standardised data monthly against a nationally defined data set since 2009. The purpose of the standard is to collect consistent and comparable data across all NHS Acute Trust providers of radiotherapy services in England in order to provide intelligence for service planning, commissioning, clinical practice and research and the operational provision of radiotherapy services across England.
        
        Data is available from 01/04/2009. The data is linked at a patient level and can be linked to the latest available av_patient table.
        
        ncras_did
        
        The Diagnostic Imaging Dataset (DID) is a central collection of detailed information about diagnostic imaging tests carried out on NHS patients, extracted from local radiology information systems and submitted monthly. The DID captures information about referral source, details of the test (type of test and body site), demographic information such as GP registered practice, patient postcode, ethnicity, gender and date of birth, plus data items about different events (date of imaging request, date of imaging, date of reporting, which allows calculation of time intervals.
        
        Data is available for patients diagnosed between 1 January 2013 and 31 December 2015.
        
        lucada_2013	The National Lung Cancer Audit (LUCADA) looks at the care delivered during referral, diagnosis, treatment and outcomes for people diagnosed with lung cancer and mesothelioma. The data items in the LUCADA dataset have been compiled to meet the requirements of audit, and are not to be confused with the data items identified as Lung Cancer in the National Cancer dataset. The audit focuses on measuring the care given to lung cancer patients from diagnosis to the primary treatment package, assessing against standards and bringing about necessary improvements. The project supports the Calman Hine recommendations, the National Cancer Plan and other national guidance (e.g. NICE guidance) as it emerges.
        lucada_2014	As above. Different schema to lucada_2013.",['https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/labourforcesurveylfsqmi'],University of Dundee Health Informatics Centre
331,"Vitamin D supplementation to prevent asthma exacerbations, COPD exacerbations and respiratory tract infections is a meta-analyses database of trials testing vitamin D supplementation to prevent asthma exacerbations, COPD exacerbations and acute respiratory tract infection, incorporating patient level data for which the relevant permissions for data sharing have been obtained. Asthma from seven randomised controlled trials (RCTs); COPD from four RCTs; acute RTI from 25 RCTs.",['https://saildatabank.com/about-us/overview/'],National Clinical Audit and Patient Outcomes Programme (NCAPOP)
332,"The weekly version of this dataset is specifically for Covid19 national emergency response. A separate quarterly dataset is available for wider use. Intensive care case mix and activity. Includes information preceding admission to intensive care e.g. date of hospital admission, and information about min and max values of critical indicator (e.g. lowest heart rate, highest serum glucose).","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",PATIENT INDEX
333,"Data on specimens for microbiology testing.  If an organism/bacteria is found this is isolated within the sample and results of the organism's growth status under the application of various antibiotics are recorded.
This dataset also contains free text laboratory comments, adding additional details about the specimens supplied.",['https://elifesciences.org/articles/60675'],NOT APPLICABLE
334,"This dataset covers all patients informed they do not have cancer, or patients who started their first definitive treatment.  Dataset provides context to cancer performance measures included in the NHS activity and performance release, and contains measures about the suspected cancer pathway.","['https://blogs.gov.scot/statistics/wp-content/uploads/sites/24/2020/05/Covid-19-Scottish-Government-Bespoke-data-access-request-statement-Covid-requests.pdf', 'https://www.scotlandscensus.gov.uk/census-methodology']",NOT APPLICABLE
335,"Intensive care case mix and activity. Includes information preceding admission to intensive care e.g. date of hospital admission, and information about min and max values of critical indicator (e.g. lowest heart rate, highest serum glucose).",['https://www.cprd.com/linked-data'],NOT APPLICABLE
336,"CVD-COVID-UK, co-ordinated by the British Heart Foundation (BHF) Data Science Centre, is one of the NIHR-BHF Cardiovascular Partnership’s National Flagship Projects.

It aims to understand the relationship between COVID-19 and cardiovascular diseases such as heart attack, heart failure, stroke, and blood clots in the lungs through analyses of de-identified, pseudonymised, linked, nationally collated health datasets across the four nations of the UK.

The consortium has over 170 members across more than 40 institutions including data custodians, data scientists with methodological and analytical expertise and clinicians, all of whom have signed up to an agreed set of principles with an inclusive, open and transparent ethos.

Approved researchers access data within secure trusted research environments (TREs) provided by NHS Digital in England, the National Data Safe Haven in Scotland, the SAIL Databank in Wales and the Honest Broker Service in Northern Ireland.

Linked datasets include those from primary and secondary care, COVID lab tests and vaccinations, deaths, critical care, prescribing/dispensing, cardiovascular, stroke and vascular surgical audits.

A list of datasets currently available in each nation’s TRE can be found on associated BHF Data Science Centre webpages (URL as below).","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://saildatabank.com/']",UKCRC Tissue Directory and Coordination Centre
337,"Deaths registration data (all deaths in England and Wales) collected from The Registrar General for England and Wales. Record-level patient data set, where a record represents one death registration. The data are collected at source from Local Registry offices at the point of death registration. The data are collated nationally by the Register General before being passed to the Office for National Statistics (ONS), for use in statistics and coding. Coding includes such things cause of death coding using the International Classifications of Diseases (ICD) coding system, attributing socio-economic code classifications based on occupation. ONS maintains its own version of the data set for its use in statistics. The Civil Registration of Deaths data contains 14 million unique registrations since 1993 onwards, increasing yearly. Average 500,000 - 600,000 new death registrations yearly. Records cover all deaths registered in England & Wales.
ICD coding is 9th and 10th.

https://digital.nhs.uk/services/data-access-request-service-dars",['https://digital.nhs.uk/data-and-information/publications/statistical/hospital-accident--emergency-activity'],Not Applicable
338,"The Welsh Cancer Intelligence & Surveillance Unit (WCISU) is the National Cancer Registry for Wales and its primary role is to record, store and report on all incidence of cancer for the resident population of Wales wherever they are treated. Cancer registration in Wales began almost five decades ago and today’s electronic database which holds records going back to 1972 contains in the region of 686,000 records.

WCISU collects data about occurrences of cancer in Welsh residents via direct or indirect submissions from Welsh Hospitals.

Staging of malignant melanoma (ICD 10 code C43), breast (C50), colorectal (C18-C20) and cervix (C53) started in 2001 since this was when we started receiving pathological information. Staging for all other cancers started in 2010.

Treatment information started in 1995.",['https://www.cprd.com/linked-data'],NOT APPLICABLE
339,"Capture waiting times for specified diagnostic and therapy services for the NHS in Wales.

Monthly return of counts of waiting times for referrals to specified diagnostic and therapy services submitted by Local Health Boards.","['https://saildatabank.com/about-us/overview/', 'https://popdatasci.swan.ac.uk/centres-of-excellence/sail/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://saildatabank.com/']",UKCRC Tissue Directory and Coordination Centre
340,"Careers Wales dataset.

The data supplied to SAIL represents interactions and services provided by Careers Wales to clients throughout Wales over the period 01/04/2012 to 31/03/2020. At the start of this period, the Careers Wales had just been formed from six regional Careers companies, and their CRM system was initially populated with imports from the preceding companies’ systems. Between 2012 and the present Careers Wales has worked to rationalise the varied approaches to recording, enhance the quality and suitability of the data they gather, and to simplify the data entry requirements for their staff as far as possible. Therefore users of the data will very likely notice changes over time in the nature of the data.

Careers Wales stores information on all its interactions, services provided, etc. as entities called histories. Within their CRM, different on-screen fields can be enabled or disabled for different history types – therefore a history representing a Group Session would contain information on the duration of the session, the topic and the venue; whereas a history for a Traineeship Referral Form completion would not display any of these fields.

All the numerically coded columns in Careers Wales’ supplied data can be decoded via the accompanying lookup file - HISTORIES_LOOKUP_1545_20200821.CSV.",['https://digital.nhs.uk/binaries/content/assets/website-assets/data-and-information/clinical-audits-and-registries/nda-technical-specification-v1.3.xlsx'],NOT APPLICABLE
341,"The FFFAP NAIF is a continuously ascertained, record-level audit which evaluates both falls prevention activity prior to the hip fracture and post-falls care, when inpatients have fallen within acute, community and mental health hospital care in England and Wales. Data collection started in January 2019.","['https://saildatabank.com/about-us/overview/', 'https://www.youtube.com/watch?v=ZK9-Jw3uVkw', 'https://www.hdruk.ac.uk/news/covid-19-vaccine-data-listed-and-available-to-request-through-hdr-innovation-gateway/?utm_source=hive&utm_medium=email']",UKCRC Tissue Directory and Coordination Centre
