,accessRights,dataController,jurisdiction,dataProcessor,accessRequestCost,deliveryLeadTime,accessService
339,['https://saildatabank.com/application-process/'],"University of Leeds
Leeds Teaching Hospital Trust",['GB-SCT'],Not Applicable,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://arthritisaudit.org.uk/filesuploaded/data%20access%20process%20-%20november%202018.pdf']",OTHER,SAIL Databank - https://saildatabank.com/
340,['https://saildatabank.com/application-process/'],University of Sheffield,['GB-EAW'],University of Bristol,['http://www.hscbusiness.hscni.net/pdf/Researcher%20Pack.zip'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
341,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://www.rcplondon.ac.uk/guidelines-policy/applying-work-falls-and-fragility-fracture-audit-programme-data']","Department of Health Sciences, University of Leicester",['GB'],NOT APPLICABLE,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,"Data are released to researchers who have successfully gone through the UKRR's data application process. Prior to any data sharing with successful applicants, a fixed term data sharing agreement (DSA) is drawn up between the Renal Association and the recipient. This specifies the scope of the analyses permitted, the data items to be shared, the frequency of the data sharing, the names of the researchers and the time limit beyond which data must be destroyed."
342,['https://www.dundee.ac.uk/hic/governanceservice/'],University of Leeds,GB,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['https://www.qresearch.org/information/information-for-researchers/'],OTHER,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure."
343,Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects,Moorfields Eye Hospital NHS Foundation Trust,['GB-GB'],Royal College of Paediarics and Child Health,https://www.insight.hdrhub.org/,OTHER,To be determined upon data access request
344,Please contact the publisher using Contact Point details provided,RESPIRE,['GB-EAW'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
345,"['Please complete our data request form at: https://www.rcgp.org.uk/-/media/Files/CIRC/Research-and-Surveillance-Centre/RCGP_RSC_Data_Request_Form_2018.ashx?la=enOur data can be used for SQUIRE purposes:SurveillanceQuality ImprovementResearchEducation There is no restriction on who can use our data, just the purpose.  RCGP Study Approval Committee and possibly Ethical approval will also be required. General information about our network is at: http://www.rcgp.org.uk/rsc.https://clininf.eu/index.php/rcgp-rsc/https://clininf.eu/index.php/wlo/']",UCL,['GB-SCT'],"Department of Health Sciences, University of Leicester, UK",Fees will be dependent on the type of access that is necessary. Raw data is not eligible for export. Summary-level data may be exported provided that it is approved through the Genomics England Airlock Process,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
346,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources",RESPIRE,['GB-GBN'],Not Applicable,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",2-6 MONTHS,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
347,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",RESPIRE,['GB-ENG'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
348,['https://www.dundee.ac.uk/hic/governanceservice/'],Cardiff University,['GB-SCT'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
349,['https://www.dundee.ac.uk/hic/governanceservice/'],Clinical Practice Research Datalink (CPRD),GB-GBN,Royal College of Psychiatrists,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
350,"['https://www.nicor.org.uk/for-researchers/', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",NHS DIGITAL,GB,Royal College of Paediarics and Child Health,www.pioneerdatahub.co.uk/data/data-services-costs/,2-4 WEEKS,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
351,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],SAIL Databank,GB-ENG,SAIL Databank,Not specified,2-6 MONTHS,"The Data Access will be from securely linked  primary- and secondary-care data, non-identifiable patient information from GP surgeries, community care units and hospital records repository, eg Leeds Teaching Hospitals NHS Trust (LTHT) , Data Request and access process."
352,['https://saildatabank.com/application-process/'],King's College London,"['GB-ENG', 'GB-GB']",Not Applicable,Not specified,VARIABLE,https://github.com/HDRUK/papers
353,['https://renal.org/audit-research/how-access-data/ukrr-data/apply-access-ukrr-data'],ICNARC,GB-GBN,Google,['Quotation available on request'],OTHER,Access is managed on a project-by-project basis. Contact the RESPIRE Collaboration.
354,['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data'],Healthcare Quality Improvement Partnership jointly with NHS England,GB-ENG,"The data processors are: 1) The Scientific Computing team of Royal Surrey County Hospital will be the data collector, 2) Faculty will provide the Platform environment to manage the data storage (on infrastructure owned by NHSX), 3) Third party technology developers will access the data and the Platform to create and validate software tools for the interpretation of chest X-Rays, CTs and MRIs of suspected COVID-19 patients, 4) Third party entities will utilise the data and the Platform to audit technology tools (such as AI products) to ensure they are robust, safe and useful for COVID-19 response",Not specified,1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
355,['https://www.dundee.ac.uk/hic/governanceservice/'],University of Dundee,['GB-GBN'],Not Applicable,Cost recovery.,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access in a Trustworthy Research Environment (TRE) at AIMES secure data centre (https://aimes.uk/)."
356,['https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme'],NHS DIGITAL,['GB-ENG'],"Swansea University is a Data Processor who provide data infrastructure and data management services to UK LLC and will maintain the integrity of the TRE, will assist with the data management processing (under UK LLC’s direction) and will conduct the output disclosure assessments (to UK LLC’s specification). The UoS have sub-contracted the Data Linkage functions of the SeRP UK (including all management of participant identifiers) to the Digital Health and Care Wales (DHCW, part of NHS Wales) who, as such, are Data Processors for UK LLC.",In Progress,2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
357,['HTTPS://CPRD.COM/DATA-ACCESS'],NHS Tayside,GB-ENG,SAIL Databank,['www.pioneerdatahub.co.uk/data/data-services-costs/'],1-2 WEEKS,"Access to all data and samples collected by ISARIC4C are controlled by an Independent Data and Materials Access Committee (IDAMAC), composed of representatives of research funders, academia, clinical medicine, public health and industry. Their job is to ensure that all data and samples are used to generate the greatest possible benefit to humanity, in the shortest possible time.

If you are interested in requesting samples or data please briefly answer the questions below and send to isaric4c-samples@roslin.ed.ac.uk, including this statement in your email:

“I agree for the contents of my application to be shared publicly on the internet and other media by the ISARIC 4C consortium.”

What samples (type & volume) or data do you need?
What will you do with the samples or data ?
What is your previous track record of delivering similar work?
When will you complete the proposed work?
How will you fund the proposed work?
How do you plan to share data, results, and products from these samples?
Why will this help the global response to COVID19?
What assurance can you give with regards to your safe handling and secure storage of samples and data?"
358,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],Welsh Government,GB,George Ploubidis. Professor of Population Health and Statistics at the UCL Social Research Institute.,"Whilst the UK CF Registry does not charge for data, it must recoup costs of data handling (including extract and cleaning), project management, and analysis (where applicable) on behalf of third parties. The charging structure outlined below is designed to be fair, proportionate, and transparent whilst furthering the Registry’s aim of stimulating research use of the data for the benefit of people with cystic fibrosis. 

https://www.cysticfibrosis.org.uk/the-work-we-do/uk-cf-registry/apply-for-data-from-the-uk-cf-registry",1-2 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team:
359,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources",National Records Scotland,GB-ENG,SAIL Databank,Not specified,2-6 MONTHS,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
360,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],University of Dundee,['GB-GBN'],CPRD,['https://www.cprd.com/pricing'],VARIABLE,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
361,['https://digital.nhs.uk/services/data-access-request-service-dars'],Joint data controller model across North West London,['PK'],Not Applicable,Not specified,1-2 MONTHS,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
362,['https://www.insight.hdrhub.org/'],University of Bath,GB-GBN,SAIL Databank,['https://www.cprd.com/pricing'],LESS 1 WEEK,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
363,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],The Institute of Cancer Research,GB-ENG,University of Oxford,['https://www.cprd.com/pricing'],OTHER,Data may only be accessed in an approved Trustworthy Research Environment
364,Please contact the publisher using Contact Point details provided,RESPIRE,['BD'],NOT APPLICABLE,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,https://saildatabank.com/application-process/
365,['https://www.insight.hdrhub.org/researcher-area'],Moorfields Eye Hospital NHS Foundation Trust,IN,Not Applicable,['https://www.cprd.com/pricing'],NOT APPLICABLE,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
366,['https://digital.nhs.uk/services/data-access-request-service-dars'],University of Bristol,GB-WLS,"University of Dundee, Health Informatics Centre",['None'],2-6 MONTHS,"Following receipt of a signed Data Sharing Agreement (DSA), Researchers are provided access to anonymised patient-level data and supporting documentation in a secure data access system, known as the SAS Clinical Trial Data Transparency (CTDT) system."
367,Please contact the publisher using Contact Point details provided,University Hospitals Birmingham NHS Foundation Trust,['GB-ENG'],SAIL Databank,['http://www.njrcentre.org.uk/njrcentre/Portals/0/NJR%20cost%20recovery%20policy%20April%202019%20v1.0.pdf?ver=2019-04-04-105011-240'],VARIABLE,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
368,['http://www.leicsrespiratorybru.nihr.ac.uk/our-research/respiratory-research-database/'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-ENG'],"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)","Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",VARIABLE,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
369,Please contact the publisher using Contact Point details provided.,Healthcare Quality Improvement Partnership jointly with NHS England,GB-GBN,"Data processors are NIHR BioResource staff, others with Letters of Access to CUH and approved members of staff at the data centre (AIMES, https://aimes.uk/)",['http://www.njrcentre.org.uk/njrcentre/Portals/0/NJR%20cost%20recovery%20policy%20April%202019%20v1.0.pdf?ver=2019-04-04-105011-240'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
370,['https://www.insight.hdrhub.org/researcher-area'],University Hospitals Birmingham NHS Foundation Trust,['GB-WLS'],Not Applicable,['www.pioneerdatahub.co.uk/data/data-services-costs/'],2-6 MONTHS,"The Office for National Statistics Secure Research Service (SRS) gives accredited researchers secure access to de-identified, unpublished data in order to work on research projects for the public good.   Most datasets are available to access through remote access to the SRS. In some instances, the data can only be accessed from an approved safe setting. 
For more information, visit: https://www.ons.gov.uk/aboutus/whatwedo/statistics/requestingstatistics/approvedresearcherscheme"
371,['https://www.ed.ac.uk/usher/respire/about/projects'],"Department of Health Sciences, University of Leicester, UK","['GB-ENG', 'GB-GBN']",SAIL Databank,['https://www.cprd.com/pricing'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
372,https://www.hqip.org.uk/national-programmes/accessing-ncapop-data,"Clinical Trials Research Unit, University of Leeds",GB-WLS,Kings College London,https://www.cprd.com/pricing,2-4 WEEKS,Access is managed on a project-by-project basis. Please contact the RESPIRE team.
373,Please contact the publisher using Contact Point details provided,Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-EAW'],HSC Honest Broker Service,https://www.cprd.com/pricing,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED.,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
374,['https://www.ed.ac.uk/usher/respire/contact-us'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-SCT'],NOT APPLICABLE,['Quotation available on request'],1-2 MONTHS,Access is managed on a project-by-project basis. Contact the RESPIRE team:
375,Access is managed on a project-by-project basis. Contact the RESPIRE team: https://www.ed.ac.uk/usher/respire/about/projects,Healthcare Quality Improvement Partnership jointly with NHS England,"['GB-ENG', 'GB-NIR', 'GB-SCT', 'GB-WLS']",NOT APPLICABLE,"['https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources', 'https://www.hqip.org.uk/national-programmes/accessing-ncapop-data']",2-6 MONTHS,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
376,Please contact the publisher using Contact Point details provided,Healthcare Quality Improvement Partnership jointly with NHS England,['GB-SCT'],Centre for Longitudinal Studies (CLS),"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",LESS 1 WEEK,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
377,['HTTPS://CPRD.COM/DATA-ACCESS'],Welsh Government,['GB-GBN'],National Services Scotland,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",2-6 MONTHS,"Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE).

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae"
378,['https://digital.nhs.uk/services/data-access-request-service-dars'],NHS Digital,['GB-GBN'],University of Oxford,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",VARIABLE,The audit team at Parkinson's UK will respond to all requests for access to this data within 5 working days.
379,"https://www.hqip.org.uk/national-programmes/accessing-ncapop-data
https://www.rcplondon.ac.uk/projects/outputs/national-asthma-and-copd-audit-programme-nacap-resources",Moorfields Eye Hospital,['GB-SCT'],NOT APPLICABLE,www.pioneerdatahub.co.uk/data/data-services-costs/,OTHER,"Some de-identified data may be released to researchers in a platform-independent filetype (e.g. CSV). However, access to any data acquired via NHS Digital is subject to strict restrictions governing where data may be accessed and from which locale - access is currently via an experimental safe haven built in Microsoft Azure."
380,['https://saildatabank.com/application-process/'],NHS England and Department for Health and Social Care,['GB'],SAIL Databank,['https://www.insight.hdrhub.org/'],PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,"Researchers will have access to a VDI environment with a specific username and password. The researchers will get access to the datasets that is present in the hub's catalogue and would be able to carry out their research within the safe haven. There are restrictions applied which prevents the researchers from taking data out of the safe haven, once the research/analysis is completed the admin team will need to be contacted for taking the analysis off the safe haven"
381,['https://twinsuk.ac.uk/resources-for-researchers/access-our-data/'],University of Leeds,['GB-ENG'],GENOMICS ENGLAND,['https://www.cprd.com/pricing'],2-6 MONTHS,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
382,['https://saildatabank.com/application-process/'],"University of Bristol, on behalf of UK LLC.",GB-ENG,SAIL Databank,['Available at no cost at the point of use'],VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
383,"['https://www.hqip.org.uk/national-programmes/accessing-ncapop-data', 'https://arthritisaudit.org.uk/filesuploaded/data%20access%20process%20-%20november%202018.pdf']",SAIL Databank,['MY'],N/A,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",1-2 MONTHS,Access service varies on a project-by-project basis. Contact the RESPIRE team for further in formation
384,['https://www.dundee.ac.uk/hic/governanceapprovalsupport/'],"University College London is the Data Controller and is committed to protecting the rights of individuals in line with the Data Protection Act 2018 (DPA) and the new General Data Protection Regulation (GDPR).

Your test result and unique ID will be retained by Thriva for three years. No other information will be retained by Thriva. The Department for Health and Social Care are the Data Controller for the data that will be retained by Thriva.",['GB-ENG'],SAIL Databank,"['Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/', 'Bespoke data analysis requests - https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",1-2 MONTHS,"Remote access can now be granted via an HSCNI tenancy of the UK Secure e-Research Platform (UK SeRP), the HBS still offer the physical safe setting in Belfast for local research."
385,['https://digital.nhs.uk/services/data-access-request-service-dars'],SAIL Databank,GB,SAIL Databank,Not specified,PLEASE CONTACT THE PUBLISHER USING CONTACT POINT DETAILS PROVIDED,Scottish National Data Safe Haven - https://www.isdscotland.org/Products-and-Services/eDRIS/
386,['https://www.dundee.ac.uk/hic/governanceservice/'],Clinical Practice Research Datalink (CPRD),['GB-ENG'],SAIL Databank,['www.pioneerdatahub.co.uk/data/data-services-costs/'],2-4 WEEKS,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
387,['https://saildatabank.com/application-process/'],University College London,['GB-GBN'],"North West London CCG
North East London Commissioning Support Unit",['Quotation available on request'],2-6 MONTHS,"HIC has implemented a remote-access ""Safe Haven"" environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
388,"['https://www.informationgovernance.scot.nhs.uk/pbpphsc/', 'https://www.isdscotland.org/Products-and-Services/eDRIS/', 'https://publichealthscotland.scot/contact-us/bespoke-data-analysis-requests/']",Zoe Global Ltd (https://joinzoe.com/),['GB-EAW'],NOT APPLICABLE,['http://www.njrcentre.org.uk/njrcentre/Portals/0/NJR%20cost%20recovery%20policy%20April%202019%20v1.0.pdf?ver=2019-04-04-105011-240'],NOT APPLICABLE,"HIC has implemented a remote-access Trusted Research Environment to protect data confidentiality, satisfy public concerns about data loss and reassure Data Controllers about HIC’s secure management and processing of their data.

Data is not released externally to data users for analysis on their own computers but placed on a server at HIC, within a restricted, secure IT environment, where the data user is given secure remote access to carry out their analysis.

Full details are available via the following link:
https://www.dundee.ac.uk/hic/hicsafehaven/"
389,['https://www.dundee.ac.uk/hic/governanceservice/'],Imperial College London,GB,Not Applicable,This has not yet been defined and will be developed on a case by case basis initially.,1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
390,['https://imperialcollegehealthpartners.com/discover-now/nwl-covid-data-access/'],University of Oxford,GB,RESPIRE,"Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.",OTHER,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
391,['https://www.bath.ac.uk/research-centres/centre-for-pain-research-cpr/'],University Hospitals Birmingham NHS Foundation Trust,GB-ENG,Not Applicable,['https://www.qresearch.org/information/information-for-researchers/'],2-6 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
392,Please contact the publisher using Contact Point details provided,Birmingham Women's & Children NHS Foundation Trust,['GB-GB'],RESPIRE Collaboration,Free,VARIABLE,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
393,['https://www.ed.ac.uk/usher/respire/about/projects'],Local NHS boards,['GB-GBN'],"University of Dundee, Health Informatics Centre",Not specified,1-2 MONTHS,"The SAIL Databank is powered by the UK Secure e-Research Platform (UKSeRP). Following approval through safeguard processes, access to project-specific data within the secure environment is permitted using two-factor authentication."
394,['https://www.insight.hdrhub.org/researcher-area'],Welsh Government,['GB-EAW'],NOT APPLICABLE,"['Data provision is free from SAIL. Overall project costing depends on the number of people that require access to the SAIL Gateway, the activities that SAIL needs to complete (e.g. loading non-standard datasets), data refreshes, analytical work required, disclosure control process, and special case technological requirements.']",VARIABLE,"Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement."
395,['http://www.bristol.ac.uk/alspac/researchers/access/Access policy: http://www.bristol.ac.uk/media-library/sites/alspac/documents/researchers/data-access/ALSPAC_Access_Policy.pdf'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB-EAW'],Not Applicable,Not specified,VARIABLE,"Access to CPRD data, including UK Primary Care Data, and linked data such as Hospital Episode Statistics, is subject to protocol approval via CPRD’s Research Data Governance (RDG) Process. Independent scientific and patient advice is provided by Expert Review Committees (ERCs) and the Central Advisory Committee (CAC): https://www.cprd.com/research-applications"
396,['https://www.pioneerdatahub.co.uk/data/data-request-process/'],Cambridge University Hospitals NHS Foundation Trust (CUH),['GB'],The University of Cambridge,Research Projects - https://www.isdscotland.org/Products-and-Services/eDRIS/FAQ-eDRIS/index.asp#a4 ; Information Request Service - https://www.isdscotland.org/About-ISD/Information-Requests/,VARIABLE,Access is managed on a project-by-project basis. Contact the RESPIRE team.
397,['https://bioresource.nihr.ac.uk/using-our-bioresource'],NHS Digital,['GB-ENG'],NHS BRENT CCG,Not specified,2-4 WEEKS,The audit team at Parkinson's UK will respond to all requests for access to this data within 5 working days.
